﻿Group;Merchant;Login ID;Member ID;Date;Type;Pay Method;Currency;Amount;Fee;Ticket #;Status;Approval Remark
RP1M (G109);RP1M (161);miki888;17880@161;04/01/2026 12:46:26;Deposit;QRIS IM;IDR;3300;0.00;779979832;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/01/2026 12:57:10;Deposit;QRIS IM;IDR;1000;0.00;779983852;Approved;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/01/2026 14:13:08;Deposit;QRIS IM;IDR;500;0.00;780015662;Approved;
RP1M (G109);RP1M (161);abongjp;42574@161;04/01/2026 14:51:19;Deposit;QRIS IM;IDR;150;0.00;780031726;Approved;
RP1M (G109);RP1M (161);abongjp;42574@161;04/01/2026 14:58:55;Deposit;QRIS IM;IDR;100;0.00;780034949;Approved;
RP1M (G109);RP1M (161);Suhuslot99;25319@161;04/01/2026 15:29:19;Deposit;QRIS IM;IDR;29;0.00;780047744;Approved;
RP1M (G109);RP1M (161);Suhuslot99;25319@161;04/01/2026 15:38:14;Deposit;QRIS IM;IDR;50;0.00;780051634;Approved;
;;;;;;;;;;;;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 15:44:46;Deposit;QRIS IM;IDR;1000;0.00;780054455;Approved;
;;;;;;;;;;;;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 15:52:53;Deposit;QRIS IM;IDR;500;0.00;780058018;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 15:58:58;Deposit;QRIS IM;IDR;1000;0.00;780060687;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/01/2026 16:02:56;Deposit;QRIS IM;IDR;500;0.00;780062481;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 16:09:03;Deposit;QRIS IM;IDR;330;0.00;780065173;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 16:10:41;Deposit;QRIS IM;IDR;400;0.00;780065893;Approved;
RP1M (G109);RP1M (161);abongjp;42574@161;04/01/2026 16:33:23;Deposit;QRIS IM;IDR;200;0.00;780076339;Approved;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 17:21:15;Deposit;QRIS IM;IDR;500;0.00;780097942;Approved;
;;;;;;;;;;;;
RP1M (G109);RP1M (161);abongjp;42574@161;04/01/2026 18:05:45;Deposit;QRIS IM;IDR;100;0.00;780118637;Approved;
;;;;;;;;;;;;
RP1M (G109);RP1M (161);Deni251293;43165@161;04/01/2026 19:55:38;Deposit;QRIS IM;IDR;25;0.00;780173772;Approved;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 20:59:50;Deposit;QRIS IM;IDR;1000;0.00;780207049;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 21:26:12;Deposit;QRIS IM;IDR;400;0.00;780221764;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 21:30:12;Deposit;QRIS IM;IDR;500;0.00;780224019;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 21:33:42;Deposit;QRIS IM;IDR;500;0.00;780226099;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 21:36:48;Deposit;QRIS IM;IDR;600;0.00;780227903;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 21:49:08;Deposit;QRIS IM;IDR;500;0.00;780234986;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 21:52:04;Deposit;QRIS IM;IDR;600;0.00;780236758;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/01/2026 22:06:22;Deposit;QRIS IM;IDR;410;0.00;780245612;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 22:06:53;Deposit;QRIS IM;IDR;400;0.00;780245968;Approved;
RP1M (G109);RP1M (161);solo888;43166@161;04/01/2026 23:51:41;Deposit;QRIS IM;IDR;200;0.00;780316395;Approved;
RP1M (G109);RP1M (161);solo888;43166@161;04/01/2026 23:52:41;Deposit;QRIS IM;IDR;1800;0.00;780317134;Approved;
